Louse	Hippoboscid	Bird host common name	Bird host scientific name	Bird host	Locality	Specific locality (State/Town)	Reference	Secondary Reference	ReferenceId
NIL	Ornithoica exilis	Moluccan king parrot 	Alisterus amboinensis	Moluccan king parrot (Alisterus amboinensis)	Papua New Guinea	NW New Guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Rufous-bellied kookaburra 	Dacelo gaudichaud	Rufous-bellied kookaburra (Dacelo gaudichaud)	Papua New Guinea	NE New Guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica stipituri	Kingfisher	Papua New Guinea	Kingfisher	Papua New Guinea	NE New Guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Kingfisher	Papua New Guinea	Kingfisher	Papua New Guinea	NW New Guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Kingfisher	Papua New Guinea	Kingfisher	Papua New Guinea	SE New Guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica stipituri	Bowerbird 	Family Ptilinorhynchidae	Bowerbird (Family Ptilinorhynchidae)	Papua New Guinea	SE New Guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Torresian crow 	Corvus orru	Torresian crow (Corvus orru)	Papua New Guinea	NE New Guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Hooded butcherbird 	Cracticus cassicus	Hooded butcherbird (Cracticus cassicus)	Papua New Guinea	NE New Guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Crow 	Corvidae	Crow (Family Corvidae)	Papua New Guinea	NE New Guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Yellow-faced myna 	Mino dumontii	Yellow-faced myna (Mino dumontii)	Papua New Guinea	SE New Guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Brown oriole 	Oriolus szalayi	Brown oriole (Oriolus szalayi)	Papua New Guinea	NE New Guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica simplicis	Sclater's whistler 	Pachycephala soror	Sclater's whistler (Pachycephala soror)	Papua New Guinea	NW New guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica simplicis	Black-throated robin 	Poecilodryas albonotata	Black-throated robin (Poecilodryas albonotata)	Papua New Guinea	NW New guinea	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Greater coucal 	Centropus sinensis	Greater coucal (Centropus sinensis)	Philippines	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Spooted wood kingfisher 	Actenoides lindsayi	Spooted wood kingfisher (Actenoides lindsayi)	Philippines	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica rabori	Copsychus sp. 	Copsychus minor 	Copsychus sp. (Recorded by Maa as Copsychus minor) 	Philippines	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Bar-bellied cuckooshrike 	Coracina striata	Bar-bellied cuckooshrike (Coracina striata)	Philippines	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica exilis	Black-naped oriole 	Oriolus chinensis	Black-naped oriole (Oriolus chinensis)	Philippines	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica tridens	Black-browed barbet 	Megalaima oorti	Black-browed barbet (Megalaima oorti)	Taiwan	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica tridens	Grey treepie 	Dendrocitta formosae	Grey treepie (Dendrocitta formosae)	Taiwan	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica tridens	White-eared sibia 	Heterophasia auricularis	White-eared sibia (Heterophasia auricularis)	Taiwan	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica tridens	Brown-eared bulbul 	Hypsipetes amaurotis	Brown-eared bulbul (Hypsipetes amaurotis)	Taiwan	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica tridens	Taiwan whistling thrush 	Myophonus insularis	Taiwan whistling thrush (Myophonus insularis)	Taiwan	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica tridens	Taiwan blue magpie 	Urocissa caerulea	Taiwan blue magpie (Urocissa caerulea)	Taiwan	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica bistativa	Blue pitta 	Hydrornis cyaneus	Blue pitta (Hydrornis cyaneus)	Thailand	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Icosta ardae ardae	Eurasian bittern 	Botaurus stellaris	Eurasian bittern (Botaurus stellaris)	Italy	NIL	Maa (1969a)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L349
NIL	Icosta sensilis	Yellow vented bulbul 	Pycnonotus goiavier	Yellow vented bulbul (Pycnonotus goiavier)	Malaysia	Malaya	Maa (1969a)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L349
NIL	Ornithophila metallica	Indian pitta 	Pitta brachyura	Indian pitta (Pitta brachyura)	Malaysia	Malaya	Maa (1969b)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L351
NIL	Ornithophila metallica	Yellow vented bulbul 	Pycnonotus goiavier	Yellow vented bulbul (Pycnonotus goiavier)	Malaysia	Malaya	Maa (1969b)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L351
NIL	Ornithophila metallica	Black-crowned tchagra 	Tschagra senegala	Black-crowned tchagra (Tschagra senegala)	Mozambique	NIL	Maa (1969b)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L351
NIL	Ornithophila metallica	Collared kingfisher 	Todiramphus chloris	Collared kingfisher (Todiramphus chloris)	New Hebrides	NIL	Maa (1969b)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L351
