Louse	Hippoboscid	Bird host common name	Bird host scientific name	Bird host	Locality	Specific locality (State/Town)	Reference	Secondary Reference	ReferenceId
Strigiphilus crenulatus	Ornithomya chloropus	Northern hawk-owl 	Surnia ulula	Northern hawk-owl (Surnia ulula)	Russia	Kola Peninsula	Blagoveshtchenski (1950)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L293
Corvonirmus unicosus	Ornithomya avicularia	Carrion crow 	Corvus cornix sharpii	Carrion crow (Corvus cornix sharpii)	Russia	Ussuriisky	Blagoveshtchenski (1950)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L293
Brueelia-complex sp.	Ornithomya avicularia	NIL	Russia	NIL	Russia	Ussuriysk	Blagoveshtchenski (1950)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L293
Brueelia-complex sp.	Ornithomya chloropus	NIL	Russia	NIL	Russia	Kulumys Ridge,Senno slopes of Sayan Mountains, Ermakovsky District, Krasnoyarsk Territory, Siberia	Blagoveshtchenski (1950)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L293
Guimaraesiella marginata	Ornithomya chloropus	Fieldfare 	Turdus pilaris	Fieldfare (Turdus pilaris)	Russia	Zapadvaya	Blagoveshtchenski (1950)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L293
Olivinirmus glandarii	Ornithomya avicularia	Eurasian jay 	Garrulus glandarius	Eurasian jay (Garrulus glandarius)	Finland	Vuohiniemi	Buttiker (1949)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L297
Turdinirmus merulensis	Ornithomya avicularia	Blackbird 	Turdus merula	Blackbird (Turdus merula)	Switzerland	Wauwilermoos	Buttiker & Cerny (1974)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L299
Brueelia sp.	Ornithomya avicularia	European greenfinch 	Chloris chloris	European greenfinch (Chloris chloris)	Switzerland	Ibach	Buttiker & Cerny (1974)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L299
Olivinirmus glandarii	Ornithomya avicularia	Eurasian jay 	Garrulus glandarius rufitergum	Eurasian jay (Garrulus glandarius rufitergum)	France	Richelieu, Indre-et-Loire	Callot (1946)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L301
Turdinirmus merulensis	Ornithomya avicularia	Blackbird 	Turdus merula	Blackbird (Turdus merula)	UK	NIL	Clay (1949)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L305
Brueelia sp.	Ornithomya chloropus	European starling 	Sturnus vulgaris	European starling (Sturnus vulgaris)	Estonia	NIL	Clay & Meinertzhagen (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Guimaraesiella sp.	NIL	Black-crowned tchagra 	Tchagra senegala	Black-crowned tchagra (Tchagra senegala)	Morocco	NIL	Clay & Meinertzhagen (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Sturnidoecus sturni	Ornithomya chloropus	Shetland starling 	Sturnus vulgaris zetlandicus	Shetland starling (Sturnus vulgaris zetlandicus)	Scotland	Orkneys	Clay & Meinertzhagen (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Sturnidoecus sturni	Ornithomya chloropus	Shetland starling 	Sturnus vulgaris zetlandicus	Shetland starling (Sturnus vulgaris zetlandicus)	Scotland	Orkneys	Clay & Meinertzhagen (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Sturnidoecus sturni	Ornithomya chloropus	Shetland starling 	Sturnus vulgaris zetlandicus	Shetland starling (Sturnus vulgaris zetlandicus)	Scotland	Orkneys	Clay & Meinertzhagen (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Sturnidoecus sturni	Ornithomya chloropus	Shetland starling 	Sturnus vulgaris zetlandicus	Shetland starling (Sturnus vulgaris zetlandicus)	Scotland	Orkneys	Clay & Meinertzhagen (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Sturnidoecus sturni	Ornithomya chloropus	Shetland starling 	Sturnus vulgaris zetlandicus	Shetland starling (Sturnus vulgaris zetlandicus)	Scotland	Shetland	Clay & Meinertzhagen (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Olivinirmus glandarii	Ornithomya avicularia	Eurasian jay 	Garrulus glandarius rufitergum	Eurasian jay (Garrulus glandarius rufitergum)	UK	Berkshire	Clay & Meinertzhagen (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Philopterus sp.	Ornithomya fringillina*	American robin 	Turdus migratorius	American robin (Turdus migratorius)	USA	Massachusetts	Clay & Meinertzhagen (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Brueelia sp.	Ornithoica vicina	California scrub jay 	Aphelocoma californica	California scrub jay (Aphelocoma californica)	USA	California	Clay & Meinertzhagen (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Brueelia sp.	Ornithoica vicina	Spotted towhee 	Pipilo maculatus (megalonyx)	Spotted towhee (Pipilo maculatus (megalonyx))	USA	NIL	Clay & Meinertzhagen (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Sturnidoecus sturni	Ornithomya fringillina*	European starling 	Sturnus vulgaris	European starling (Sturnus vulgaris)	UK	Fair Isle, Shetland	Corbet (1956)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L307
Columbicola macrourae	Stilbometopa podopostyla	Mourning dove 	Zenaida macroura	Mourning dove (Zenaida macroura)	USA	Denton county, Texas	Couch (1962)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L309
Physconelloides zenaidurae	Microlynchia pusilla	Mourning dove 	Zenaida macroura	Mourning dove (Zenaida macroura)	USA	Denton county, Texas	Couch (1962)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L309
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	Brazil	Pelotas Municipality	da Cunha Amaral et al., (2013)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L311
Corvonirmus unicosus	Icosta ardeae	Carrion crow 	Corvus cornix sharpii	Carrion crow (Corvus cornix sharpii)	Russia	Astrakan Reserve	Dubinin (1947)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L315
Brueelia sp.	Ornithomya parva	Common diuca finch 	Diuca diuca	Common diuca finch (Diuca diuca)	Chile	Valparaiso	Reed (1932)	Bequaert (1953)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L377
Brueelia sp.	Ornithomya parva	NIL	Chile	NIL	Chile	Valparaiso	Reed (1932)	Bequaert (1953)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L377
Brueelia sp.	Ornithomya parva	NIL	Chile	NIL	Chile	Valparaiso	Reed (1932)	Bequaert (1953)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L377
Brueelia sp.	Ornithomya parva	NIL	Chile	NIL	Chile	Valparaiso	Reed (1932)	Bequaert (1953)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L377
